id;unit_code;name;address;logo_url;email;fax;type
1;jubilantly;how delectable;developmental or why;needily;Ariane_Boehm@gmail.com;adventurously;FACULTY
2;woot;conclude reborn brace;above;forgery off;Donavon_Sporer8@yahoo.com;fooey;DEPARTMENT
3;regarding;median yippee hubris;behold;intensely that;Alanna.Turner73@hotmail.com;behind exotic brandish;CENTER
4;ick boohoo stake;lender utterly orange;wherever emulsify;afore instead;Guy42@hotmail.com;enraged nautical chubby;CENTER
5;hm accomplished;whoever;sniff ouch editor;intrepid boohoo nor;Virginia93@yahoo.com;times;FACULTY
6;unless;now than saturate;lean;engage castanet;Darwin_Strosin@gmail.com;vastly yawn;SUBJECT
7;fatally oof;crossly vibration;which triumphantly eek;meanwhile nor incidentally;Yasmin.Glover@hotmail.com;supposing up hmph;FACULTY
8;submissive;astride down;uncork stale;which whoa;Gerry_Armstrong-Wuckert11@gmail.com;into pish resource;CLASSROOM
9;surprisingly gifted;reorganisation nor;beloved knottily phooey;really unwieldy;Eveline.Romaguera@yahoo.com;versus cruelly unlike;DEPARTMENT
10;unblinking;phew loosely;seemingly;blah whereas provided;Soledad_Kunze37@gmail.com;hence numeric;CLASSROOM
